playlist_id,title,description,image_url,uri
3cjYbN4XilLifi50NqfHCE,jigsaw,acoustic alien blues,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8416d286be177580f618647b88,spotify:playlist:3cjYbN4XilLifi50NqfHCE
37i9dQZF1DZ06evO1IPOOk,This Is Kendrick Lamar,"This is Kendrick Lamar. The essential tracks, all in one playlist.",https://thisis-images.spotifycdn.com/37i9dQZF1DZ06evO1IPOOk-default.jpg,spotify:playlist:37i9dQZF1DZ06evO1IPOOk
1W7ZTOHtVIcA3Js5sEzNZV,tiger talk,(they dont),https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d9c17cc511aacdb09f1d30a3,spotify:playlist:1W7ZTOHtVIcA3Js5sEzNZV
6WOBAYupbzo9MNfJSzlVC4,Happy birthday,,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a7bab5d425d28be8e774e385,spotify:playlist:6WOBAYupbzo9MNfJSzlVC4
4mmb4O8bso8D4wraSEl69G,symph,kinesthetic works,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842d53fa0486565f156319adbd,spotify:playlist:4mmb4O8bso8D4wraSEl69G
08PBkNMTE5LTpDjDcaG5Eo,pochette,heart,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8405af830c59ae391be9a3faa6,spotify:playlist:08PBkNMTE5LTpDjDcaG5Eo
4ekzhQpXq310TTRzn5oR7B,Stress,,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b16de69a7ff56fef6c340836,spotify:playlist:4ekzhQpXq310TTRzn5oR7B
3WN0EcRKtMgOm6NLFm27Sy,dewy,plop plop,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8471e07e4a745f5af1baaeb614,spotify:playlist:3WN0EcRKtMgOm6NLFm27Sy
1ZjT1DCZApRMzTmIJNt56A,grand forks,ଘ(੭*ˊᵕˋ)੭* ੈ♡‧₊˚,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84926900c61aa728b247b99199,spotify:playlist:1ZjT1DCZApRMzTmIJNt56A
6B68YiiaqNNQRQpNuDgPJA,smule,listening now...,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da848bbde82fc3e19f8a68eb8a3b,spotify:playlist:6B68YiiaqNNQRQpNuDgPJA
