song_id,title,features,popularity,genres
2ejGSIDLEBoniM8SfkjHLi,BTB,"(0.15, 0.499, 188997, 0.796, 1.9e-05, 1, 0.608, -7.352, 1, 0.171, 92.415, 4, 0.451)",34,['k-rap']
67jY28XGWZzr5YaOju8AIL,Buriburi,"(0.00205, 0.59, 220071, 0.733, 0.000502, 9, 0.748, -6.319, 1, 0.053, 75.05, 4, 0.9)",47,['k-rap']
2mDF18iNsQ2Hp6gXQewqJG,Bodycoke,"(0.0249, 0.845, 192112, 0.624, 0.0207, 4, 0.0666, -7.936, 0, 0.0964, 95.014, 4, 0.69)",36,['k-rap']
2l7IXXGf3d9lcBsDBDQkx9,Big Pussy,"(0.446, 0.599, 140600, 0.793, 0, 11, 0.441, -8.326, 0, 0.403, 93.691, 4, 0.808)",38,"['boy band', 'rap']"
1cl9P7BaQk7z4eFBEQQC7X,파리,"(0.0657, 0.752, 109091, 0.797, 0, 2, 0.16, -7.88, 1, 0.0663, 109.91, 4, 0.864)",12,['korean drill']
5KUNwkaNf8l5A9sXZhiCgI,Rapp Snitch Knishes feat. Mr. Fantastik,"(0.327, 0.728, 172893, 0.832, 0, 7, 0.504, -6.827, 1, 0.267, 95.051, 4, 0.825)",79,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop', 'rap']"
3iGNoYKIabGohB9A0C7dKU,MICHUUL.,"(0.384, 0.846, 186200, 0.681, 1.02e-05, 1, 0.185, -6.172, 1, 0.144, 117.978, 4, 0.696)",57,['alternative r&b']
46oHvXwpEZOFX518we1nJD,CORSO,"(0.169, 0.703, 146482, 0.845, 0, 10, 0.122, -4.851, 0, 0.337, 97.672, 4, 0.745)",65,"['hip hop', 'rap']"
6OfOzTitafSnsaunQLuNFw,DOGTOOTH,"(0.505, 0.706, 161041, 0.648, 0, 8, 0.215, -6.348, 1, 0.324, 77.533, 4, 0.802)",75,"['hip hop', 'rap']"
5Xb9LkVG98JiLorzV9O56r,SILVER TOOTH. (with A$AP Ferg),"(0.15, 0.958, 142560, 0.802, 0, 1, 0.041, -5.799, 1, 0.239, 103.013, 4, 0.854)",64,"['indie hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
5FV8BuXQV61vNORagEvCqe,GOATED. (feat. Denzel Curry),"(0.0116, 0.946, 197387, 0.484, 4.15e-06, 0, 0.333, -7.833, 1, 0.164, 123.058, 4, 0.437)",56,"['indie hip hop', 'dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
5dLz8bhINeCWgppiUIcafp,HAZARD DUTY PAY!,"(0.0387, 0.609, 157169, 0.952, 0, 8, 0.182, 0.919, 1, 0.169, 121.707, 4, 0.556)",61,"['alternative hip hop', 'experimental hip hop', 'industrial hip hop', 'underground hip hop']"
3x1BtwpOBgsXVPHG6nSkpm,WHAT KINDA RAPPIN' IS THIS? - OFFLINE,"(0.364, 0.345, 189422, 0.839, 0.0174, 1, 0.0933, -2.81, 1, 0.337, 136.592, 4, 0.361)",46,"['alternative hip hop', 'experimental hip hop', 'industrial hip hop', 'underground hip hop']"
73PrkuaabjArxQWzRRslIh,Patrisse Cullors Stole My Lunch Money,"(0.442, 0.389, 231308, 0.893, 0, 11, 0.349, -6.289, 0, 0.284, 102.341, 3, 0.528)",32,['chill abstract hip hop']
2tKxOz59ENUdzuHufvTaMd,One Meal A Day Type Beat,"(0.065, 0.691, 153341, 0.591, 0, 1, 0.258, -12.811, 1, 0.276, 111.877, 4, 0.439)",34,['chill abstract hip hop']
5s9DXZ4xQpHPYmmJnRk5KR,Prison Riot,"(0.177, 0.645, 160510, 0.642, 0, 1, 0.124, -9.081, 1, 0.0435, 103.0, 4, 0.167)",38,['chill abstract hip hop']
4VIznE5GISZrFlTxFNE7Pc,World Champ,"(0.147, 0.516, 146954, 0.565, 0.000285, 1, 0.313, -6.77, 1, 0.207, 178.177, 3, 0.721)",66,['nyc rap']
67vrmPygrZ9giGqHUSReAT,Accordion,"(0.0243, 0.578, 118853, 0.631, 0, 9, 0.0665, -6.518, 0, 0.309, 96.332, 4, 0.716)",66,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop', 'abstract hip hop', 'alternative hip hop', 'hip hop', 'instrumental hip hop', 'psychedelic hip hop', 'alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop', 'rap']"
3iVcZ5G6tvkXZkZKlMpIUs,Alright,"(0.0742, 0.796, 219333, 0.766, 0, 7, 0.0827, -5.974, 1, 0.238, 110.034, 4, 0.558)",83,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
0N3W5peJUQtI4eyR6GJT5O,King Kunta,"(0.00589, 0.884, 234693, 0.657, 0, 6, 0.154, -4.569, 0, 0.0977, 107.059, 4, 0.489)",77,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
3ODXRUPL44f04cCacwiCLC,i,"(0.708, 0.541, 336013, 0.809, 0, 8, 0.72, -4.286, 1, 0.324, 120.094, 4, 0.753)",66,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
7Ks4VCY1wFebnOdJrM13t6,Wesley's Theory,"(0.359, 0.509, 287360, 0.787, 2.76e-05, 7, 0.26, -6.754, 1, 0.265, 114.449, 4, 0.507)",73,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap', 'funk', 'p funk', 'soul', 'afrofuturism', 'indie soul']"
5Gt9bxniM1SxN61yRzRhXL,United In Grief,"(0.244, 0.529, 255378, 0.845, 0, 8, 0.143, -8.142, 1, 0.404, 85.63, 3, 0.331)",77,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
28qA8y1sz0FTuSapsCxNOG,Father Time (feat. Sampha),"(0.181, 0.514, 222497, 0.779, 0, 10, 0.099, -4.365, 0, 0.344, 152.869, 4, 0.517)",73,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap', 'alternative r&b', 'indie soul']"
1QPreu0BNOrUfEb8HTd2qG,Rich Spirit,"(0.428, 0.852, 202285, 0.421, 2.28e-06, 10, 0.106, -9.153, 0, 0.208, 95.977, 4, 0.457)",77,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
5qbhVL3vB7HwWvb0042B7y,The Heart Part 5,"(0.183, 0.7, 332229, 0.812, 0, 1, 0.0756, -8.128, 0, 0.297, 97.405, 4, 0.801)",63,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
5vuJuBqwzHJgCA1ysRfwxZ,good kid,"(0.0623, 0.451, 214120, 0.831, 0, 5, 0.185, -8.641, 0, 0.307, 176.162, 4, 0.41)",60,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
2cDCojn6uIBM6A5xTAbl3H,m.A.A.d city,"(0.0538, 0.487, 350120, 0.729, 4.07e-06, 2, 0.44, -6.815, 1, 0.271, 91.048, 4, 0.217)",68,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap', 'g funk', 'west coast rap']"
1q8DwZtQen5fvyB7cKbShC,Walkin,"(0.134, 0.557, 280000, 0.654, 0, 11, 0.291, -7.201, 0, 0.196, 135.983, 4, 0.386)",70,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
4AFsRbaLKRWo3dDtjDFA2V,Me and Your Mama,"(0.0104, 0.545, 379227, 0.442, 0.0271, 5, 0.0664, -12.111, 1, 0.0352, 118.073, 3, 0.242)",83,"['atl hip hop', 'hip hop', 'rap']"
6kHuBsPj0OFq0cfDtjgwtd,Dela,"(0.27, 0.71, 231714, 0.787, 0.0584, 10, 0.0741, -7.693, 0, 0.0484, 115.087, 4, 0.942)",38,"['brazilian experimental', 'nova musica carioca']"
43pWChQ7AOab9wlSGy0dN6,F.I.L.O. (feat. Shing02),"(0.393, 0.875, 211227, 0.722, 0.000511, 4, 0.0896, -6.348, 0, 0.233, 101.02, 4, 0.447)",50,"['chillhop', 'downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']"
0JL9TZip7mL7iwC5EOkALS,Lady Brown (feat. Cise Starr from CYNE),"(0.611, 0.499, 199160, 0.874, 0.000639, 0, 0.0703, -4.586, 1, 0.097, 97.317, 4, 0.861)",64,"['chillhop', 'downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']"
2ej1A2Ze6P2EOW7KfIosZR,Feather (feat. Cise Starr & Akin from CYNE),"(0.655, 0.565, 175360, 0.749, 0.432, 10, 0.106, -6.629, 0, 0.0769, 180.598, 4, 0.881)",68,"['chillhop', 'downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']"
7emmNrOyCxxMNnvGjcMlfE,Heart,"(0.503, 0.736, 217053, 0.856, 0.287, 7, 0.249, -6.294, 1, 0.0573, 115.013, 4, 0.554)",24,"['ambeat', 'ambeat']"
