playlist_id,image_url,name,description,owner,tracks,playlist_uri
3cjYbN4XilLifi50NqfHCE,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8416d286be177580f618647b88,jigsaw,acoustic alien blues,Sarah,49,spotify:playlist:3cjYbN4XilLifi50NqfHCE
5jh29aVeTSx98M4FtwDOFk,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f53a0797a1a3e4a5f6be5d50,야옹,,Sarah,91,spotify:playlist:5jh29aVeTSx98M4FtwDOFk
4KGe5dVE3U57ayOVR0WZ00,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841eaccf6d36c7f511412051b6,lyric,,Sarah,5,spotify:playlist:4KGe5dVE3U57ayOVR0WZ00
6B68YiiaqNNQRQpNuDgPJA,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da848bbde82fc3e19f8a68eb8a3b,smule,listening now...,Sarah,30,spotify:playlist:6B68YiiaqNNQRQpNuDgPJA
1USR5DWKDIAnssBS2ynBg0,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84619324a633fec8e0a6fde686,jap dump 2,years of accumulation,Sarah,135,spotify:playlist:1USR5DWKDIAnssBS2ynBg0
08PBkNMTE5LTpDjDcaG5Eo,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8405af830c59ae391be9a3faa6,pochette,for floating,Sarah,36,spotify:playlist:08PBkNMTE5LTpDjDcaG5Eo
3IpplWtOOzSjysEj8antMU,https://mosaic.scdn.co/640/ab67616d00001e02063047b406ee33bb43432249ab67616d00001e0247683d1b11d35a22048d243fab67616d00001e02e6715e5e2596173d35880f79ab67616d00001e02fb6c40b91bc46024ef89159f,My recommendation playlist,Playlist created by the tutorial on developer.spotify.com,Sarah,10,spotify:playlist:3IpplWtOOzSjysEj8antMU
1W7ZTOHtVIcA3Js5sEzNZV,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d9c17cc511aacdb09f1d30a3,tiger talk,(they dont),Sarah,35,spotify:playlist:1W7ZTOHtVIcA3Js5sEzNZV
47M8snIhDSEZHWPK2LJ7MP,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8480bdbe121c4ec0749243fedd,market research,,Sarah,11,spotify:playlist:47M8snIhDSEZHWPK2LJ7MP
4ekzhQpXq310TTRzn5oR7B,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b16de69a7ff56fef6c340836,Stress,,Sarah,19,spotify:playlist:4ekzhQpXq310TTRzn5oR7B
6ZQwyn6EUJ2KzRlxOyPxyQ,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84ffe9797708c002a847add2f6,i forgot,,Sarah,10,spotify:playlist:6ZQwyn6EUJ2KzRlxOyPxyQ
6U7qeNGvO3AomDWh5xjsCN,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846a5ac3b30a1e2352a8102855,breakfast,,Sarah,19,spotify:playlist:6U7qeNGvO3AomDWh5xjsCN
65JHY8m4iNdB40SFb9sQ9z,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841014a808e6b89c40fdc77c5e,첫사랑,,Sarah,30,spotify:playlist:65JHY8m4iNdB40SFb9sQ9z
2qFR62LXmiNRi0x7wXsxo0,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a0912c554f3720caed7b7347,love 2,:-),Sarah,52,spotify:playlist:2qFR62LXmiNRi0x7wXsxo0
4mmb4O8bso8D4wraSEl69G,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842d53fa0486565f156319adbd,symph,kinesthetic works,Sarah,41,spotify:playlist:4mmb4O8bso8D4wraSEl69G
05IhH8mCpSmkhPfKqAcCxK,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b1fd5fa2de4bea4819e0d90a,sukima switch,,Sarah,15,spotify:playlist:05IhH8mCpSmkhPfKqAcCxK
4ms64f9o8s3n2lPqCRXzVn,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84458fc8e773d62c894e38f5cb,k.k. tea,Soothing cafe-ish mix,Sarah,53,spotify:playlist:4ms64f9o8s3n2lPqCRXzVn
1ZjT1DCZApRMzTmIJNt56A,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84926900c61aa728b247b99199,grand forks,ଘ(੭*ˊᵕˋ)੭* ੈ♡‧₊˚,Sarah,53,spotify:playlist:1ZjT1DCZApRMzTmIJNt56A
3WN0EcRKtMgOm6NLFm27Sy,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8471e07e4a745f5af1baaeb614,dewy,plop plop,Sarah,11,spotify:playlist:3WN0EcRKtMgOm6NLFm27Sy
30YIHkf6lZHshFEElFZxYx,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84fc1406c4e5f64b9398e637d6,daisy,Seasons changing!,Sarah,61,spotify:playlist:30YIHkf6lZHshFEElFZxYx
51de0wkmyhbz2ogwQ2l2f9,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84dab09edc96d3c4e30966e178,gut,amfads,Sarah,12,spotify:playlist:51de0wkmyhbz2ogwQ2l2f9
0DfwFU1JWrPJ7Sb4cwXFYT,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84561ca5b856b6a2b145573a5b,head hop,,Sarah,25,spotify:playlist:0DfwFU1JWrPJ7Sb4cwXFYT
1QBNuEoJguqtIcj3Z7R4fr,https://i.scdn.co/image/ab67616d00001e02145e8ae9b703f0f570cb34c5,Season,,Sarah,1,spotify:playlist:1QBNuEoJguqtIcj3Z7R4fr
